Country;ISO3;Year;Rank;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Mauritius;MUS;2022;154th;37,9;1,1;3,1;4,7;5,3;2,8;4,1;2,1;3,1;3,5;3;1,9;3,2
Estonia;EST;2022;155th;37,7;2;5,9;7,1;2,7;2,7;4,4;1,2;2,2;1,3;3,2;1,6;3,4
Slovakia;#N/D;2022;156th;37,1;0,9;4,7;5,4;4;2,3;4,1;3,5;2,9;2,3;2,9;2,3;1,8
Uruguay;URY;2022;157th;35,2;3,9;2,7;2,3;4,3;3,2;3,4;0,4;3,5;3,3;3,7;2,1;2,4
Malta;MLT;2022;158th;34,7;2,1;2;2,4;3,7;2;3,5;3,2;2,1;3,4;4;3,5;2,8
South Korea;#N/D;2022;159th;32,7;1,8;3,9;2,6;1,7;2,5;3,4;2,7;2,7;3,1;2,8;1,4;4,1
Japan;JPN;2022;161st;31;1,5;2,6;2,2;3,4;2,4;2,9;0,2;1,5;2,9;6,2;2,9;2,3
France;FRA;2022;162nd;30,9;3,2;1,9;6,7;3,7;2,9;2,1;1,1;1,5;1,1;3,4;2,7;0,6
Slovenia;SVN;2022;163rd;27,7;0,3;2;3,3;2,9;2,6;3,7;1,7;2,7;1,3;3,9;2,5;0,8
Portugal;PRT;2022;164th;27,5;0,3;2,5;1;4,4;2,3;3;0,8;3,2;1,2;4,3;1,7;2,8
Singapore;SGP;2022;165th;25,8;0,4;4;2,5;1,1;3,1;1,6;3,7;1,2;4,8;2,6;0,4;0,4
Germany;DEU;2022;167th;23,6;2;2,3;3,7;1,5;2,4;1,9;0,4;1,7;0,8;2,6;4;0,3
Netherlands;NLD;2022;169th;22,1;2,1;3,4;3,3;1,9;1,7;2,4;0,3;1;0,6;2,8;2,3;0,3
Sweden;SWE;2022;170th;20,9;2,4;1,8;2;1,6;2;0,6;0,6;1,1;1,2;3,3;4;0,3
Ireland;IRL;2022;171st;20,8;2,4;1,5;0,6;2;1,7;2,6;0,6;2,2;1,5;3,1;1,3;1,3
Luxembourg;LUX;2022;173rd;20;0,4;3,4;1,8;2,1;1,7;1,6;0,3;1,6;1,1;2,9;2,8;0,3
Switzerland;CHE;2022;174th;18,9;1,7;1;2,4;1,9;2,1;1;0,3;1,9;0,5;2,7;3,1;0,3
Denmark;#N/D;2022;175th;18,1;1,4;1,4;3,4;1,2;1,5;1;0,3;1,7;0,6;2,6;2,7;0,3
New Zealand;NZL;2022;176th;17,5;1,7;1,4;2,3;2,9;2,3;1,4;0,5;1,2;0,5;1,3;1,5;0,5
Iceland;ISL;2022;177th;17,1;0,4;1,8;0,5;3,1;1,4;1,7;0,4;0,9;0,4;1,8;1,8;2,9
Norway;NOR;2022;178th;15,6;1,5;1,1;3,4;1,7;1,3;0,7;0,3;1,3;0,3;1,7;2;0,3
Finland;FIN;2022;179th;15,1;2,2;1,4;0,3;2,6;1,3;1,5;0,3;1,3;0,3;2;1,6;0,3
