TRIBE,TRIBE_CODE,LAT,LON,COUNTRY,ISO3,TOTAL_ATLANTIC,TOTAL_INDIAN
LENDU,"435","1.91956670698","30.52480000000",Uganda,UGA,"0","0"
LENGOLA,"436","-0.77053500000","25.41900000000",Democratic Republic of the Congo,COD,"0","0"
LENJE,"437","-14.71360000000","28.45880000000",Zambia,ZMB,"0","0"
LESE,"438","1.98204138599","29.17160000000",Democratic Republic of the Congo,COD,"0","0"
LI,"439","5.90345338197","10.04590000000",Cameroon,CMR,"94","0"
"LIGBI, DEGHA (SE)","440","8.66276015312","-2.50018000000",Ghana,GHA,"0","0"
LIKA,"441","2.12175520425","27.46610000000",Democratic Republic of the Congo,COD,"0","0"
LILSE,"442","12.34890000000","-2.61949000000",Burkina Faso,BFA,"0","0"
LIMBA,"443","9.46418785307","-11.95310000000",Sierra Leone,SLE,"6237","0"
LIPTAKO,"444","13.71150000000","0.07591713508",Niger,NER,"0","0"
LISI,"445","12.94190000000","17.98240000000",Chad,TCD,"18","0"
LOBI,"446","10.01410000000","-3.34210000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
LOGO,"447","3.42835417559","30.06500000000",South Sudan,SSD,"0","0"
LOKELE,"448","0.75815544353","24.73590000000",Democratic Republic of the Congo,COD,"0","0"
LOKO,"449","9.16240343492","-12.15810000000",Sierra Leone,SLE,"457","0"
LOMWE,"450","-15.48210000000","37.80440000000",Mozambique,MOZ,"1558","174"
LONGUDA,"451","9.90710835251","12.00480000000",Nigeria,NGA,"0","0"
LOTUKO,"452","4.52168398466","32.71210000000",Uganda,UGA,"0","0"
LOVEDU,"453","-24.26220000000","30.60720000000",South Africa,ZAF,"0","86"
LOZI,"454","-15.38390000000","23.34020000000",Zambia,ZMB,"0","0"
LUAPULA,"455","-9.97104000000","28.93050000000",Zambia,ZMB,"0","0"
LUBA,"456","-8.20646000000","25.75220000000",Democratic Republic of the Congo,COD,"450","0"
LUCHAZI,"457","-13.14950000000","20.18330000000",Zambia,ZMB,"0","0"
LUGBARA,"458","3.20389152649","30.87060000000",Uganda,UGA,"0","0"
LUGURU,"459","-7.26561000000","37.85330000000",United Republic of Tanzania,TZA,"0","25577"
LUIMBE,"460","-11.83980000000","17.62610000000",Angola,AGO,"0","0"
LUKOKWE,"461","-13.68410000000","24.23450000000",Zambia,ZMB,"0","0"
LULUA,"462","-5.93696000000","22.35210000000",Democratic Republic of the Congo,COD,"0","0"
LUMBO,"463","-2.50535000000","10.89760000000",Gabon,GAB,"4883","0"
LUNDA,"464","-8.56856000000","22.58470000000",Democratic Republic of the Congo,COD,"470","0"
LUNGU,"465","-9.05051000000","31.27200000000",Zambia,ZMB,"0","0"
LUO,"466","-0.29384300000","34.41800000000",United Republic of Tanzania,TZA,"0","435"
LUPOLO,"467","-10.32620000000","15.13520000000",Angola,AGO,"142841","0"
LUVALE,"468","-12.26440000000","21.81420000000",Zambia,ZMB,"1376","0"
LUWA,"469","-6.81631000000","18.57580000000",Democratic Republic of the Congo,COD,"343","0"
MAAZA,"470","28.27550000000","32.33300000000",Egypt,EGY,"0","0"
MABA,"471","13.74940000000","20.18060000000",Chad,TCD,"76","0"
MACHA,"472","9.33254963510","37.15980000000",Ethiopia,ETH,"0","17"
MADA,"473","9.04445291519","8.60056813412",Nigeria,NGA,"0","0"
MADI,"474","3.61086394196","31.83330000000",Uganda,UGA,"0","0"
MAGUZAWA,"475","11.70420000000","8.88569197965",Nigeria,NGA,"0","0"
MAGWANGARA,"476","-10.47520000000","36.02190000000",United Republic of Tanzania,TZA,"0","27142"
MAHAFALY,"477","-24.45560000000","44.38090000000",Madagascar,MDG,"2730","2366"
MAHAMID,"478","15.29390000000","20.51090000000",Chad,TCD,"0","0"
MAKA,"479","4.14722526271","13.24380000000",Cameroon,CMR,"0","0"
MAKERE,"480","2.62290844198","26.42790000000",Democratic Republic of the Congo,COD,"118","0"
MAKONDE,"481","-10.99920000000","39.78350000000",United Republic of Tanzania,TZA,"7877","9483"
MAKUA,"482","-13.68520000000","38.91380000000",United Republic of Tanzania,TZA,"186673","36277"
MALINKE,"483","11.86630000000","-10.65000000000",Senegal,SEN,"466128","0"
MAMA,"484","9.12358171056","9.02548849825",Nigeria,NGA,"0","0"
MAMBILA,"485","6.89643522493","11.66920000000",Nigeria,NGA,"112","0"
MAMPRUSI,"486","10.36160000000","-0.51626100000",Togo,TGO,"0","0"
MAMVU,"487","2.71437782525","29.38430000000",Democratic Republic of the Congo,COD,"675","0"
MANALA,"488","-25.90660000000","28.32630000000",South Africa,ZAF,"0","0"
MANDARA,"489","11.44620000000","14.19120000000",Nigeria,NGA,"0","0"
MANDJA,"490","5.95633897216","18.32480000000",Central African Republic,CAF,"0","0"
MANGA,"491","13.40710000000","11.34810000000",Nigeria,NGA,"74","0"
MANGBETU,"492","3.39672619992","27.79500000000",Democratic Republic of the Congo,COD,"0","0"
